Pressure,Temprature,Diameter,Ug,Ul,H,dp/dx,Density_mix,Viscosity_mix,friction factor
2.88,-7,44,1.66,0.1,0.16,109,220.4472144,2.98151E-05,0.012686341
2.88,-7,44,0.49,0.1,0.5,107,522.7304028,6.31768E-05,0.016037591
2.88,-7,44,4.55,0.5,0.13,824,193.7751684,2.68715E-05,0.011460753
2.88,-7,44,3.58,0.5,0.2,606,256.0099425,3.374E-05,0.011696085
2.88,-7,44,1.61,0.5,0.36,270,398.2608546,4.94397E-05,0.012795542
4.5,10,44,4.61,0.03,0.01,420,142.3302245,1.67218E-05,0.01123848
4.5,10,44,3.45,0.03,0.02,239,149.5922318,1.73871E-05,0.011458434
4.5,10,44,1.7,0.03,0.05,47,171.3782536,1.93831E-05,0.012224921
4.5,10,44,0.9,0.03,0.07,-3.4,185.9022681,2.07137E-05,0.013252758
4.5,10,44,3.47,0.05,0.01,270,142.3302245,1.67218E-05,0.011454096
4.5,10,44,1.7,0.05,0.05,54,171.3782536,1.93831E-05,0.012224095
4.5,10,44,0.75,0.05,0.08,-6,193.1642753,2.13791E-05,0.013614654
4.5,10,44,4.67,0.1,0.01,508,142.3302245,1.67218E-05,0.0112296
4.5,10,44,3.48,0.1,0.03,301,156.854239,1.80524E-05,0.011450899
4.5,10,44,1.71,0.1,0.09,62,200.4262826,2.20444E-05,0.012230804
4.5,10,44,0.75,0.1,0.13,-5,229.4743116,2.47057E-05,0.01364429
4.5,10,44,0.43,0.1,0.12,-14,222.2123044,2.40404E-05,0.014912655
4.5,10,44,4.16,0.5,0.13,708,229.4743116,2.47057E-05,0.01132928
4.5,10,44,3.43,0.5,0.19,515,273.0463552,2.86977E-05,0.011512084
4.5,10,44,1.69,0.5,0.35,165,389.2384713,3.9343E-05,0.0123997
4.5,10,44,0.78,0.5,0.47,29,476.3825585,4.73269E-05,0.013532757
2.88,-7,44,3.63,0.03,0.02,204,95.97766626,1.6078E-05,0.011754739
2.88,-7,44,1.67,0.03,0.05,35,122.6497123,1.90217E-05,0.012715663
2.88,-7,44,0.25,0.03,0.06,-14,131.5403943,2.00029E-05,0.017571994
